Code,Introduction (English),Introduzione (Italiano)
CORN,"",""
MARN,"The river, whose name recalls Marron Dandolo who dug by hand in the eleventh century, is one of the most picturesque areas of the city, his deeply lined with interesting buildings are as Gradenigo palace of the seventeenth century, the work of Margutti .�The arc that introduces the courtyard of the palace is surmounted by the coat of arms Gradenigo.�The fa�ade and balcony with quadrifora protruding, is placed to the left corner of the building.�Front of the building is the church of St. Simon the Prophet, called San Simeon Grando to distinguish it from San Simeon and Judah, who is not far.�It overlooks the river Capello palace of the seventeenth century, famous for its rich interiors with marble and paintings and his garden, which is mentioned in the novel by Gabriele d'Annunzio Fire.","Il rio, il cui nome ricorda Marron Dandolo che lo fece scavare a mano nell'XI secolo, � uno dei pi� caratteristici e pittoreschi della citt�; le sue fondamente sono fiancheggiate da interessanti costruzioni come palazzo Gradenigo del XVII secolo, opera dell'architetto Margutti. L'arco che introduce nel cortile del palazzo � sormontato dallo stemma Gradenigo. La facciata, con quadrifora e poggiolo sporgente, � posta verso l'angolo sinistro dell'edificio. Di fronte al palazzo sorge la chiesa di San Simone Profeta, detta San Simeon Grando per distinguerla da San Simeone e Giuda che si trova poco distante. Si affaccia al rio palazzo Capello, del XVII secolo, famoso per i suoi interni ricchi di marmi e dipinti e per il suo giardino, menzionato da Gabriele d'Annunzio nel romanzo Il fuoco."
ZUAN,"",""
TETT ,"Tetta family, originally from Sibenik, came to Venice in 1611 to carry out business deals.�You bought the seventeenth-century palace located in the insula of St. John Lateran, characteristic for its triangular shape with the point facing the bridge Conzafelzi and the opposite side closed by building Capello.","La famiglia Tetta, originaria di Sebenico, giunse nel 1611 a Venezia per svolgere affari commerciali. Qui acquist� il secentesco palazzo situato nell'insula di San Giovanni Laterano, caratteristica per la sua forma triangolare con la punta rivolta verso ponte dei Conzafelzi e il lato opposto chiuso da palazzo Capello."
VEST,"The name derives from a tailoring of 'robe zentilomini' which was located in Campo San Fantin in the eighteenth century.�In the sixteenth century the patricians, merchants, and used it as bourgeois as the toga or dogalina, characteristic for the tight sleeves swollen wrists and elbows, and made for the edges in winter with leather strips, public officials instead wore the toga colored red with sleeves, known as 'the Duke', so broad that almost touched the ground.�It overlooks the river La Fenice Theatre.�Recent history has been marked by dramatic fire in January 1996, the theater has spared only the fa�ade of Antonio Selva.","Il nome deriverebbe da una sartoria di 'veste da zentilomini' che era situata in campo San Fantin nel XVIII secolo. Nel Cinquecento i patrizi, i mercanti e i borghesi usavano come veste la toga o dogalina, caratteristica per le maniche strette ai polsi e gonfie ai gomiti, e per le bordature fatte d'inverno con strisce di pelle; i pubblici funzionari invece indossavano la toga colorata di rosso con maniche, dette 'alla ducale', talmente ampie che quasi toccavano terra. Si affaccia sul rio il Teatro La Fenice. La cronaca recente � segnata dal drammatico incendio del gennaio 1996, che del teatro ha risparmiato solo la facciata di Antonio Selva."
EUFE,"",""
ALVI,"The church of Sant 'Alvise was built together with the monastery in 1388, thanks to the donations of Antonia Venier them consecrated to Saint Louis Bishop of Toulouse, after he appeared to her in a dream.�The river, in the western section, is also called 'stream of the Reformed'.�Here, in 1620, the Reformed Franciscans, after leaving the island of San Francesco del Deserto because it was deemed unhealthy, founded a new monastery and a church dedicated to St. Bonaventure, and currently the building is the cloistered convent of Carmelite nuns.","La chiesa di Sant'Alvise fu costruita insieme al monastero nel 1388, grazie alle elargizioni di Antonia Venier che li consacr� a San Lodovico vescovo di Tolosa, dopo che quest'ultimo le apparve in sogno. Il rio, nel tratto pi� occidentale, viene anche chiamato 'rio dei Riformati'. Qui, nel 1620, i Francescani Riformati, dopo aver abbandonato l'isola di San Francesco del Deserto perch� ritenuta insalubre, fondarono un nuovo convento e una chiesa dedicata a San Bonaventura; attualmente l'edificio � il convento di clausura delle Carmelitane Scalze."
AGOS,"At the church of St. Augustine, which was demolished in 1873 after being in the course of its history, three fires and being, in 1810, used as a warehouse, was the famous column of infamy in memory of the rebellion of Baiamonte Tiepolo, rose against the regime in 1310.�It overlooks along the river palace Morosini, passed in the wake of Zane, then to Collalto (engraving alongside Luca Carlevarijs, over the Rio di Palazzo Fangs St. Augustine, 1703).�Chronicle that on the facade of the original building Morosini it were the foot of one of the four horses placed at the Basilica of San Marco in Venice and brought the Hippodrome of Constantinople after the Fourth Crusade in 1204.","Presso la chiesa di Sant'Agostino, demolita nel 1873 dopo aver subito, nel corso della sua storia, tre incendi ed essere stata, nel 1810, adibita a magazzino, si trovava la famosa colonna d'infamia a memoria della ribellione di Baiamonte Tiepolo, insorto contro il regime nel 1310. Si affaccia lungo il rio palazzo Morosini, passato in seguito agli Zane, poi ai Collalto (nell'incisione a fianco di Luca Carlevarijs, Palazzo Zanne sopra il Rio di Sant'Agostino, 1703). Raccontano le cronache che sulla facciata dell'originario palazzo Morosini si trovasse il piede di uno dei quattro cavalli posti presso la Basilica di San Marco e portati a Venezia dall'ippodromo di Costantinopoli in seguito alla Quarta crociata del 1204."
PANT,"The present church of San Pantalon was built in the second half of the seventeenth century on the model of Francesco Comino, but remained unfinished in the front, which looks out over the Rio di Ca 'Foscari (bottom left).�The former sacred building had instead the facade facing the Rio San Pantalon, as can be seen in the view of Venice by Jacopo de Barbari (reproduced here on p. 40).�The ceiling of the church is dominated by a huge baroque canvas, designed by Antonio Fumiani, illustrating the episodes of the life of the saint, and is perhaps the largest in the world, widespread surface.","L'attuale chiesa di San Pantalon venne edificata nella seconda met� del XVII secolo su modello di Francesco Comino, ma rimase inconclusa nella facciata, che prospetta sul rio di Ca' Foscari (a sinistra in basso). Il precedente edificio sacro aveva invece la facciata rivolta verso il rio di San Pantalon, come si pu� notare nella veduta di Venezia di Jacopo De Barbari (qui riprodotta a p. 40). Il soffitto della chiesa � dominato da un'enorme tela barocca, ideata da Antonio Fumiani, illustrante gli episodi salienti della vita del santo, ed � forse la pi� grande al mondo quanto ad estensione superficiale."
DOMI,"The ancient medieval church of Santa Maria Mater Domini was rebuilt in the sixteenth century probably designed by John Buora.�The fa�ade in Istrian stone, Jacopo Sansovino, is joined by classic scroll and a triangular pediment.�It stands on the river, with the main facade facing the Grand Canal, Ca 'Pesaro, the Museum of Modern Art, in the background of the photograph.�At the bridge of Santa Maria Mater Domini stands Gozzi palace, built in the seventeenth century which takes its name from the rich family of silk merchants.�In front of the old houses of the Zane family of the thirteenth century, with quadrifora decorated with paterae and crosses stuck in Veneto-Byzantine style.","L'antica chiesa medievale di Santa Maria Mater Domini fu ricostruita nel Cinquecento probabilmente su progetto di Giovanni Buora. La facciata in pietra d'Istria, di Jacopo Sansovino, � raccordata da volute classiche e da un timpano triangolare. Sorge sul rio, con la facciata principale rivolta verso Canal Grande, Ca' Pesaro, sede del Museo di arte moderna, visibile sullo sfondo della fotografia. All'altezza del ponte di Santa Maria Mater Domini si erge palazzo Gozzi, edificio del XVII secolo che trae il nome dalla ricca famiglia di commercianti di seta. Di fronte, le antiche case della famiglia Zane del XIII secolo, con quadrifora decorata da patere e croci infisse in stile veneto-bizantino."
PRIU,"There were two palaces Priuli along this river, as the numerous houses throughout the city took the naming, just as they had in other sites, streets, bridges, deeply, etc..�Come to Venice from Hungary around the year one thousand, the Priuli were part of the Great Council and gave the city famous men in arms and politics.�Ca 'Priuli-Scarpon was located at the corner of the Rio de San Felix, but in 1739 a devastating fire destroyed almost completely.�A second Ca 'Priuli overlooked on this river, facing each other Gothic building home of Benedetti, illustrated.","Erano ben due i palazzi Priuli presenti lungo questo rio, che dalle numerose casate sparse per la citt� ha preso l'intitolazione, cos� come l'hanno avuta in altri siti, calli, ponti, fondamente, ecc. Venuti a Venezia dall'Ungheria attorno all'anno mille, i Priuli fecero parte del Maggior Consiglio e diedero alla citt� uomini illustri nell'armi e nella politica. Ca' Priuli-Scarpon era situata all'angolo con il rio de San Felice, ma nel 1739 un violento incendio la distrusse quasi completamente. Una seconda Ca' Priuli si affacciava su questo rio, di fronte all'altro palazzetto gotico dimora dei Benedetti, illustrato nell'immagine."
GAFF,"",""
CARM,"The first Carmelite friars came to Venice from Thrace in 1125, towards the end of the thirteenth century founded in this suburban, quiet area of ??the city a church - consecrated in 1348 - and a monastery dedicated to Santa Maria Assunta, dedication, which was subsequently changed to Santa Maria del Carmine.�In the church, rebuilt in Renaissance style, are conserved among other masterpieces of the Altarpiece of St. Nicholas Nativity by Lorenzo Lotto and Cima da Conegliano.�The adjoining convent - whose entrance is visible in the shadow of the incision Carlevarijs Luca (1703) reproduced here - is currently the seat of the state of art.�The bridge that connects the field of Carmini with the opposite foundation was often the scene of 'wars of punches' between Castellani and Nicolotti (right incision), a rule that ended with a swim in the river below, and yet one that held September 4, 1611 for the excessive animosity between the contenders had a budget of less than 19 deaths, most of them suffocated in the crowd.�In the picture on the side, along the right side of the river, stands in the background the white mole of Ca 'Zenobio palace built in the late eighteenth century by the architect Antonio Gaspari, long the seat of the Armenian College of fathers Mechitarist of St. Lazarus.","I primi frati carmelitani giunsero a Venezia dalla Tracia nel 1125; sullo scorcio del Duecento fondarono in questa zona periferica e tranquilla della citt� una chiesa - consacrata nel 1348 - e un monastero dedicati a Santa Maria Assunta, intitolazione che fu successivamente mutata in Santa Maria del Carmine. Nell'attuale chiesa, ricostruita in forme rinascimentali, si conservano fra gli altri capolavori la Pala di San Nicol� di Lorenzo Lotto e una Nativit� di Cima da Conegliano. L'adiacente convento - il cui portale d'ingresso � visibile nel cono d'ombra dell'incisione di Luca Carlevarijs (1703) qui riprodotta - � attualmente sede dell'Istituto statale d'arte. Il ponte che collega il campo dei Carmini con l'opposta fondamenta fu spesso teatro delle 'guerre dei pugni' fra Castellani e Nicolotti (a destra nell'incisione), che si concludevano di regola con qualche bagno nel rio sottostante; eppure quella che si svolse il 4 settembre 1611 per l'eccessiva animosit� tra i contendenti ebbe un bilancio di ben 19 morti, la maggior parte dei quali soffocati tra la folla. Nella fotografia a fianco, lungo il lato destro del rio, si erge in secondo piano la candida mole di Ca' Zenobio, palazzo costruito verso la fine del XVIII secolo su progetto dell'architetto Antonio Gaspari, da tempo sede del Collegio armeno dei padri mechitaristi di San Lazzaro."
VERG,"Pope Gregory IX, who came to Venice in 1224 to ask the support of the Republic against the Emperor Frederick II, seems to be, with the Doge Pietro Ziani in office from 1205 to 1229, the founder of the church and monastery of Santa Maria of the Virgins.�The two buildings were demolished after 1844 and in their place were dug dry docks.�The river, edging a part of the walls of the Arsenal, you enter the canal de San Piero.","Papa Gregorio IX, giunto a Venezia nel 1224 per chiedere l'appoggio della Repubblica contro l'imperatore Federico II, sembra essere, con Pietro Ziani doge in carica dal 1205 al 1229, il fondatore della chiesa e del monastero di Santa Maria delle Vergini. I due edifici furono demoliti dopo il 1844 e al loro posto si scavarono bacini di carenaggio. Il rio, che orla un tratto delle mura dell'Arsenale, si immette nel canal de San Piero."
BARC,"Towards the end of the seventeenth century is called Rio di San Moise or rio menuo, in the next century will assume the current hydronym, perhaps for the local presence of a stationary boat or gondola.�For they were once numerous ferries interior, which allowed the daily link between the various parts of the city, the islands of the lagoon and the attractions of the mainland reached for waterways.�In Campo Santa Maria Formosa and near the Ghetto can still see the small stone buildings looking the canal, which were used in the past as well as stations of the boats.�The bridge of the boatmen, visible in the background, in the picture on the right, was once called the cuoridoro, in the immediate vicinity there were in fact, at least until the late eighteenth century, some workshops specialized in the manufacture of leather panels, decorated with leaf 'gold or silver and widely used to cover the walls of rooms and halls.�Near the bridge a plaque recalls that the building facing the river, at number 1864, was home to the composer Wolfgang Amadeus Mozart.","Sullo scorcio del Seicento � denominato rio di San Mois� o rio menuo; nel secolo successivo assumer� l'idronimo corrente, forse per la presenza in loco di uno stazio di barche o gondole. Erano infatti un tempo numerosi i traghetti interni, che consentivano il quotidiano collegamento fra le varie zone della citt�, le isole della laguna e le localit� della vicina terraferma raggiungibili per le vie d'acqua. In campo Santa Maria Formosa e nei pressi del Ghetto sono ancora oggi visibili dei piccoli edifici in pietra prospicenti il canale, che servivano in passato anche come stazioni di partenza delle barche. Il ponte dei barcaroli, visibile in secondo piano, nella foto a fianco, era un tempo chiamato dei cuoridoro; nelle immediate adiacenze vi erano infatti, almeno fino al tardo XVIII secolo, alcune botteghe specializzate nella lavorazione di pannelli di cuoio, decorati con foglia d'oro o d'argento e largamente utilizzati per rivestire le pareti di stanze e saloni. Nei pressi del ponte una lapide ricorda che nell'edificio prospiciente il rio, al civico 1864, sarebbe stato ospitato il compositore Wolfgang Amadeus Mozart."
GHET,"From a copper smelter at the beginning of the fifteenth century on reclaimed land, a few decades earlier, changed its name to the whole area and the surrounding rivers, where the Jews were settled in 1516.�The massive presence of the children of Israel to the Republic of Venice forced to subsequent concessions of land to enlarge their settlement, developed in three adjacent urban centers, distinct from one another with such names as 'ghetto old and very new novo'.�It is not enough these spaces, the buildings were developed vertically (as glimpsed in the photo), so as to arrive at heights, quite unusual in Venice, six or seven floors.�The river that encircles the island of Ghetto novo - until the beginning of the last century - it was called 'the agudi' (in the stretch from the mouth of the river reaches the corner of the school Batelo Canton) and from there to the river of Ormesini, rio millstone.","Da una fonderia di rame presente all'inizio del XV secolo su un'area bonificata qualche decennio prima, prende la denominazione l'intera zona ed i rii circostanti, in cui vennero insediati gli ebrei nel 1516. La massiccia presenza dei figli d'Israele a Venezia obblig� la Repubblica a successive concessioni di terreno per ingrandire il loro insediamento, sviluppatosi in tre adiacenti nuclei urbani, distinti tra loro con gli appellativi di 'ghetto vecchio, novo e novissimo'. Non essendo sufficienti questi spazi, gli edifici vennero sviluppati in verticale (come s'intravvede nella fotografia), tanto da arrivare ad altezze, del tutto inconsuete in Venezia, di sei-sette piani. Il rio che circuisce l'isola del Ghetto novo - fino all'inizio del secolo scorso - era denominato 'degli agudi' (nel tratto che dallo sbocco del rio del batelo raggiunge all'angolo della scuola Canton) e, da qui al rio dei ormesini, rio della macina."
BUCI,"",""
MADA,"A round temple built in the eighteenth century to a design by Thomas Temanza is just a few steps from the river for over three centuries is named Rio de la Madalena.�The ancient church dating back to 1229 and was built by the will of the family in this country that Whisker had his residence, or rather a castle with towers at the corners, it was common to find in the city at the time.�One of these towers was used as the bell tower of the church of the Madeleine until 1881, then was demolished.�In the nearby area you can see a number of ancient buildings whose facades are decorated with typical chimneys.","Un tempietto rotondo edificato nel XVIII secolo su progetto di Tommaso Temanza si erge a pochi passi dal corso d'acqua che da oltre tre secoli si denomina rio de la Madalena. L'antica chiesa risaliva al 1229 e fu eretta per volont� della famiglia Baffo che in questa contrada aveva la propria residenza, o meglio un castello munito di alte torri agli angoli, com'era frequente trovare in citt� all'epoca. Una di queste torri venne utilizzata come campanile della chiesa della Maddalena fino al 1881, poi venne demolita. Nel vicino campo si possono ammirare una serie di antichi edifici le cui facciate sono impreziosite da caratteristici camini."
MEND,"",""
ZECC,"Palazzo Zecchini, fifteenth-century building that overlooks Rio, has an interesting Gothic portal and a facade of the late sixteenth century, following the marriage contract in 1635 between Valeria and Benigno Benzi Zecchini, became palace-Benzi Zecchini.�For a long stretch overlooking the canal part of the late-fourteenth-century convent of Sant 'Alvise, properties of the Canossian Sisters (pictured below).�The stream of Zecchini bordered to the south by the river and north of Sant'Alvise flows into the channel of Fondamente nine, it is not crossed by any bridges.","Palazzo Zecchini, edificio quattrocentesco che prospetta sul rio, conserva un interessante portale gotico e una facciata del tardo Cinquecento; in seguito al matrimonio contratto nel 1635 tra Valeria Zecchini e Benigno Benzi, divenne palazzo Benzi-Zecchini. Per un lungo tratto si affaccia sul canale una parte del tardo-trecentesco convento di Sant'Alvise, propriet� delle suore Canossiane (foto in basso). Il rio dei Zecchini confina a sud con il rio di Sant'Alvise e a nord sfocia nel canale delle Fondamente nove; non � attraversato da alcun ponte."
PEST,"A pestrinaio in this country speak of the documents of 1906, letting us know that Julius Eugene Salvagno was the conductor of a barn where there were six goats and thirty-five cows.�These places provided milk and dairy products to the population lagoon, so that their memory is still alive in Venice when it comes to the last 'vaccaria' located in the dell'Arzere (Santa Marta) and closed around 1955 or so.�A number of the buildings that overlook this river (also called Borgoloco), among which are Ca 'Morosini of Pestrin, Ca' Don� and Ca 'Ruzzini, huge building erected in 1580 and designed by Bartolomeo knob.","Di un pestrinaio in questa contrada parlano dei documenti del 1906, facendoci conoscere che Giulio Eugenio Salvagno era il conduttore di una stalla ove erano presenti sei capre e trentacinque vacche. Questi luoghi fornivano latte e derivati alla popolazione lagunare, tanto che il loro ricordo � tuttora vivo nei veneziani quando si parla dell'ultima 'vaccaria' situata nella zona dell'arzere (a Santa Marta) e chiusa attorno al 1955 circa. Numerosi i palazzi che si affacciano su questo rio (detto anche di Borgoloco), tra cui segnaliamo Ca' Morosini del Pestrin, Ca' Don� e Ca' Ruzzini, enorme costruzione eretta nel 1580 su disegno di Bartolomeo Manopola."
ACQU,"Located not far from the Fondamente Nove, owes its name to the numerous burci stationed there after the daily stocks in the rivers inland.�Fresh water was taken to feed the numerous public and private wells in the city, while a small percentage was sold retail by Acquaroli.�Gaetano Zompini in his book The arts that go by (1785) describes as one of these vendors:�Co'm Bigolo port to a Bezzo sechio, the water Boteghe, who was not well at home, and assae sweet, and makes a clear co spechio�.This is one of the few rivers citizens crossed by bridges.�At the confluence with the Rio di Sant'Andrea, the area currently transformed into garden (that is seen on the left in the photo) was occupied until the beginning of this century by a typical squ�ro for the construction of boats, remembered in the names of zone.","Situato non lontano dalle Fondamente Nove, deve la sua denominazione ai numerosi burci che vi stazionavano dopo aver effettuato le quotidiane scorte nei fiumi dell'entroterra. L'acqua dolce veniva prelevata per alimentare i numerosi pozzi pubblici e privati della citt�, mentre una piccola percentuale veniva venduta al minuto dagli acquaroli. Gaetano Zompini nel suo volume Le arti che vanno per via (1785) cos� descrive uno di questi venditori ambulanti:�Co sto big�lo porto un bezzo al sechio, l'acqua a boteghe, a chi no ha pozzo in casa, e assae dolce, e chiara co fa un spechio. Questo � uno dei rari rii cittadini non attraversato da ponti. Alla confluenza con il rio di Sant'Andrea, l'area attualmente trasformata in giardino (che s'intravvede a sinistra nella fotografia) era occupata fino all'inizio del nostro secolo da un tipico squ�ro per la costruzione di barche, ricordato nella toponomastica della zona"
LAVR,"",""
GRIM,"The family who dwells near the church of Saint Martial, was the branch of the Grimani said 'the Servants' proximity to the eponymous convent of the Servants of Mary, known for hosting the famous' consultant in iure' Fra 'Paolo Sarpi .�Ca 'Grimani' the Servants' demolished in the eighteenth remains the only large garden prospettante the river of the same name, fronted by Diedo near building and flanked to the north by a group of modern buildings.�The area was occupied institute founded by Bishop Daniel Canal in the first half of the eighteenth, to collect poor orphan girls without sustenance.�Following the abbot Canal was assisted in his work by Anna Marovich, which is why the institution - in recent years - the city is known by the nickname of Canal-Marovich.","Il casato che aveva dimora nei pressi della chiesa di San Marziale, era il ramo dei Grimani detto 'ai Servi' per la vicinanza all'omonimo convento dei Servi di Maria, noto per aver ospitato il celebre 'consultore in iure' fra' Paolo Sarpi. Della Ca' Grimani 'ai Servi' demolita nel XVIII rimane solo il vasto giardino prospettante l'omonimo rio, fronteggiato dal vicino palazzo Diedo ed affiancato a nord da un gruppo di moderni edifici. L'area venne occupata dell'istituto fondato da monsignor Daniele Canal nella prima met� del XVIII, per raccogliere povere ragazze orfane e prive di sostentamento. In seguito l'abate Canal fu affiancato nella sua opera da Anna Marovich, motivo per cui l'istituto - in anni recenti - � noto in citt� con l'appellativo di Canal-Marovich."
GOZZ,"The shooting from the top you can admire the entirety of its course the river, on the border between the lands of the Holy Apostles and the Jesuits, the ancient home of Gozzi rises with its size along the fifth building left in near the present bridge Sartori.�Its original Gothic structure was built by the family Dolce, who later sold it to Contarini, and only in 1638 it was bought by the merchant Alberto Gozzi, said the sedation because he kept store the goods at the Rialto.�Half a century later, this branch of Gozzi became extinct in the person of another Albert, who in his will left the building to the four hospitals.�Auctioning, Ca 'Gozzi was bought in 1725 by the family Sceriman that held it for a century or so, and currently is home to a private school.�The river is also called the tailors or Andrew.","La ripresa fotografica dall'alto consente di ammirare nell'interezza del suo percorso il rio, situato al confine tra le contrade dei Santi Apostoli e dei Gesuiti; l'antica dimora dei Gozzi si eleva con la sua mole lungo la quinta edilizia sinistra, nei pressi dell'attuale ponte dei Sartori. Il suo originario impianto gotico venne costruito ad opera della famiglia Dolce, che la cedette successivamente ai Contarini; solo nel 1638 fu acquistata dal mercante Alberto Gozzi, detto dalla seda perch� teneva negozio di tale merce a Rialto. Mezzo secolo pi� tardi, questo ramo dei Gozzi si estinse nella persona di un altro Alberto, che per testamento lasci� l'edificio ai quattro ospedali cittadini. Messa all'asta, la Ca' Gozzi fu acquistata nel 1725 dalla famiglia Sceriman che la tenne per un secolo circa; attualmente � sede di un istituto scolastico privato. Il rio si denomina anche dei sartori o di Sant'Andrea."
TRAP,"The name seems to derive from the family Trapolin, a native of Cyprus, in fact even today along the river you can see a porch that once led into the court Trapolina, where there were several properties of this family.�Walking bridge Zancani, which crosses the river, you reach Campo San Martial, known to the Venetians as Marcilian, where there is the church of the same name founded in the twelfth century, rebuilt in the late seventeenth century and restored in 1958.","Il nome sembra derivi dalla famiglia Trapolin, originaria di Cipro; ancor'oggi infatti lungo il rio si scorge un porticato che un tempo immetteva nella corte Trapolina, dove sorgevano numerose propriet� di questa famiglia. Percorrendo ponte Zancani, che attraversa il rio, si giunge a campo San Marziale, noto ai veneziani come Marcilian, dove sorge l'omonima chiesa fondata nel XII secolo, riedificata alla fine del Seicento e restaurata nel 1958."
BATE,"The professed the nearby monastery of San Girolamo, deleted and indemaniato in 1810, the ownership of which looked out along the river, it seems they had always opposed the construction of a bridge, and it was perhaps one of the reasons that led to the establishment of a regular of 'passobarca', from which originates the hydronym.�The license to ferry the shed and docks were offered for sale by Monte Napoleone in September 1809 and purchased by Domenico Moscow for the sum of 3757 pounds.�October 1886 Louise Radi, who took over algli heirs of the latter complained to the Town Hall for the damage suffered by the deletion of ferry fee on rio, caused by the construction of the new wooden bridge, but there was no compensation.�The municipal council took the decision to facilitate access to the many factories in the area, became during the nineteenth century one of the main 'industrial clusters' of the city.�The vast area of ??undeveloped said ciov�re (developed land to dry in the sun or colored cloth products in the local dry cleaners) was built in the thirties, the eponymous 'urban district' visible on the right of the photograph.�The proposal to bury the stream of Batelo was considered in 1833, but was not followed, the hydronym reached at least the second half of the seventeenth century.","Le professe del vicino monastero di San Girolamo, soppresso e indemaniato nel 1810, le cui propriet� si affacciavano lungo il rio, sembra si fossero sempre opposte alla costruzione di un ponte; fu forse questo uno dei motivi che portarono all'istituzione di un regolare servizio di 'passobarca', dal quale ebbe origine l'idronimo. La licenza di traghettare, il casotto e i pontili furono posti in vendita dal Monte Napoleone nel settembre 1809 e acquistati da Domenico Mosca per la somma di lire 3757. Nell'ottobre 1886 Luigia Radi, subentrata algli eredi di quest'ultimo, si lament� col Municipio per il danno subito con la soppressione del traghetto a pagamento sul rio, provocata dalla costruzione del nuovo ponte in legno, ma non ottenne risarcimenti. La Giunta municipale prese tale decisione per favorire l'accesso alle numerose manifatture presenti nella zona, divenuta nel corso dell'Ottocento uno dei principali 'poli industriali' della citt�. Sulla vasta area inedificata detta delle ciov�re (terreni attrezzati per asciugare al sole i panni prodotti o colorati nelle locali tintorie) venne costruito, a partire dagli anni Trenta, l'omonimo 'quartiere urbano' visibile sulla destra della fotografia. La proposta di interrare il rio del batelo venne presa in considerazione nel 1833, ma non ebbe seguito; l'idronimo � attestato almeno dalla seconda met� del XVII secolo."
GAFF,"",""
MOIS,"",""
MOCE,"",""
AVOG,"It owes its name to the nickname of the family Zamberti, called 'dall'Avogaria' because some of its members lent their work in the office dell'Avogaria de Comun, Palazzo Ducale, until the abdication of the Serenissima.�The Zamberti, who lived near the bridge, which they named, had nell'arma one or two straps with three stars each.�The buildings owned by them went after the family Superchi.�Along the river there are still two dell'Avogaria squeri, separated by a wall in the foreground to the left in the photo on the side, that operated for over a century by the family Tramontin, specialized in manufacturing gondolas.�To the right of the one conducted by Bonaldo, whose characteristic call sloping into the water a few months ago was hidden by a high concrete pier, which disarmonizzato the primitive beauty of the river, thus altering one of the increasingly rare examples of traditional Venetian shipbuilding, once spread a little 'everywhere in the historical and immortalized by the armies of artists of all time, among the many aims a little-known painting by Odilon Redon (1890-1916).","Deve la sua denominazione al soprannome della famiglia Zamberti, detta 'dall'Avogaria' perch� alcuni suoi componenti prestarono la loro opera nell'ufficio dell'Avogaria de Comun, a Palazzo Ducale, fino all'abdicazione della Serenissima. Gli Zamberti, che abitavano nei pressi del ponte che da loro prese il nome, avevano nell'arma una o due fascie con tre stelle ciascuna. Gli edifici di loro propriet� passarono successivamente alla famiglia Superchi. Lungo il rio dell'Avogaria sussistono ancora due squ�ri, separati da un muro: in primo piano a sinistra, nella fotografia a fianco, quello gestito da oltre un secolo dalla famiglia Tramontin, specializzata nella costruzione di gondole. A destra quello condotto dai Bonaldo, il cui caratteristico scalo digradante nell'acqua pochi mesi or sono � stato occultato da un'alta banchina in cemento armato, che ha disarmonizzato la primitiva estetica del rio, alterando cos� uno dei sempre pi� rari esempi della tradizionale cantieristica navale veneziana, un tempo diffusi un po' ovunque nel centro storico e immortalati da schiere d'artisti di ogni epoca; fra i tanti si propone un poco noto dipinto di Odilon Redon (1890-1916)."
SALV,"The church of San Salvador, an ancient foundation, was built in its present form between 1507 and 1534, designed by George Fear, was created by Tullio Lombardo and Jacopo Sansovino.�It overlooks the river Dolfin-Manin palace, designed by Jacopo Sansovino, whose main facade facing the Grand Canal.�The building now houses the headquarters of the Bank of Italy Venetian.�On the opposite side of the river stands Bembo palace (in the engraving of Luke Carlevarijs, Palazzo Dolfino, 1703, detail), a Gothic building of the fifteenth century, built on the remains of an earlier building Byzantine, the main facade of the Grand Canal and has two pentafore adjacent united in the sixteenth century by a continuous balcony.�At the height of the bridge Lovo, from which you can admire the bell tower of San Marco, the river flows over the Scuola di San Teodoro, one of the six 'Great Schools' in Venice.","La chiesa di San Salvador, di antica fondazione, sorse nella forma attuale tra il 1507 e il 1534; progettata da Giorgio Spavento, fu realizzata da Tullio Lombardo e Jacopo Sansovino. Si affaccia sul rio palazzo Dolfin-Manin, opera di Jacopo Sansovino, la cui facciata principale � rivolta verso Canal Grande. L'edificio ospita oggi la sede veneziana della Banca d'Italia. Su lato opposto del rio si erge palazzo Bembo (sotto nell'incisione di Luca Carlevarijs, Palazzo Dolfino, 1703, particolare), edificio gotico del XV secolo costruito sui resti di una precedente fabbrica bizantina; la facciata principale prospetta su Canal Grande e conserva due pentafore adiacenti unite in epoca cinquecentesca da un poggiolo continuo. All'altezza di ponte del Lovo, da cui � possibile ammirare il campanile di San Marco, il rio lambisce la Scuola di San Teodoro, una delle sei 'Scuole Grandi' di Venezia."
NICO,"",""
SCOA,"In the seventeenth century, many chimney sweeps working in this area (the last sweeps stopped work on the roofs of Venice in the late sixties), along the river are the homes of Gregolin, family traded with the wheat.�Cross the river bridge of Pignate, named for a store of cookware that existed nearby.","Nel XVII secolo molti spazzacamini lavoravano in questa zona (gli ultimi spazzacamini smisero di lavorare sui tetti di Venezia alla fine degli anni Sessanta); lungo il rio si trovano le case dei Gregolin, famiglia che commerciava con il frumento. Attraversa il rio il ponte delle Pignate, cos� chiamato per un negozio di pentole che esisteva nelle vicinanze."
CROC,"",""
